,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
41,Honeywell DRC,HONB34,BM&FBovespa,Industrials,Industrial Conglomerates,1110.79,-1.21%,747.00B,200.00,26.61,42.24,17.42B,96.00,7.89,1.15,14.23,-,Strong Sell,Sell,Strong Buy,Strong Buy,Strong Buy,-1.21,-1.75,8.13,-4.85,-3.82,52.71,-4.76,1.28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1224.88,850.52,-9.31,30.60,8.59%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.17,29.98,23.17,16.02,2.38,11.19,59.12,74.26,2.49,46.37,-46.06
42,ConocoPhillips DRC,COPH34,BM&FBovespa,Energy,"Oil, Gas & Consumable Fuels",49.8,-1.05%,746.11B,4.43K,9.14,-6.97,73.01B,8.35K,13.97,1.34,1.85,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,-1.05,-6.71,-38.55,3.30,2.32,73.88,-1.25,3.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.5,45.26,-49.95,10.03,-36.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.09,4.14,-15.33,-97.51,-6.22,-43.51,28.33,23.89,0.00,15.69,-99.11
43,ATT Inc BDR,ATTB34,BM&FBovespa,Communication Services,Diversified Telecommunication Services,33.34,-0.06%,715.91B,7.13K,7.91,0.71,120.72B,10.73K,2.77,0.72,1.26,-,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy,-0.06,0.73,5.01,1.56,8.58,-31.50,6.98,3.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.88,25.65,-11.99,29.98,6%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.49,0.77,0.47,-32.75,0.00,-1.68,58.06,21.17,23.36,38.99,-70.04
44,Netflix Inc DRC,NFLX34,BM&FBovespa,Communication Services,Entertainment,32.04,-1.05%,715.91B,315.76K,26.16,1.08,31.25B,576.26K,11.35,1.22,-,-,Buy,Neutral,Strong Buy,Strong Buy,Neutral,-1.05,-2.88,20.95,-53.00,-53.12,27.65,-54.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.5,16.84,-55.19,90.26,5.56%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.18,1.37,0.71,39.47,0.00,0.76,56.33,70.64,45.13,58.99,-39.57
45,Union Pacific,UPAC34,BM&FBovespa,Industrials,Road & Rail,277.27,0.1%,710.16B,600.00,17.73,1.39,24.26B,57.00,11.23,1.15,4.57,-,Buy,Neutral,Buy,Neutral,Neutral,0.10,-0.26,10.33,-20.25,-19.40,56.93,-19.40,1.65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,360,238.87,-22.98,16.08,8.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.18,9.86,3.04,49.74,5.66,5.47,50.99,78.74,72.45,71.85,-25.06
46,CVS Health DRC,CVSH34,BM&FBovespa,Healthcare,Health Care Providers & Services,53.02,0.13%,699.55B,451.00,42.57,0.75,311.65B,1.00K,2.40,0.68,3.82,-,Neutral,Strong Sell,Buy,Strong Buy,Strong Buy,0.13,0.68,2.89,-5.88,0.34,83.52,3.74,1.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.57,44.65,-11.00,18.75,8.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.18,1.29,0.27,15.05,0.00,3.72,53.90,55.70,51.41,50.63,-39.60
47,International Business Machines BDR,IBMB34,BM&FBovespa,Information Technology,IT Services,767.9,-0.47%,693.09B,300.00,90.17,21.51,42.89B,64.00,1.40,0.88,23.21,-,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy,-0.47,-0.56,7.46,6.98,15.23,37.31,15.23,3.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,802.16,573.32,-4.27,33.94,8.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.74,8.89,-6.08,-89.62,-10.32,0.36,58.78,20.24,0.00,42.99,-98.00
48,Qualcomm Inc BDR,QCOM34,BM&FBovespa,Information Technology,Semiconductors & Semiconductor Equipment,51.29,-2.01%,691.19B,2.14K,11.04,0.27,32.81B,1.63K,11.52,1.25,0.89,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,-2.01,-7.20,7.12,-38.58,-38.89,84.56,-39.37,1.74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.89,43.86,-42.94,16.94,5.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.02,1.75,-3.23,-179.23,-2.16,-6.27,45.11,41.81,0.00,45.16,-96.75
49,Goldman Sachs Group BDR,GSGI34,BM&FBovespa,Financial,Capital Markets,62.64,-1.26%,664.28B,971.00,10.37,1.20,48.46B,6.08K,37.96,1.39,1.19,-,Neutral,Strong Sell,Sell,Strong Buy,Strong Buy,-1.26,-5.55,-0.16,-10.32,-14.04,124.52,-14.52,1.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.26,46.9,-17.86,33.56,11.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.01,1.65,-5.34,-191.53,-3.61,-7.83,43.43,33.80,0.00,36.62,-94.94
50,Lockheed Martin Corp BDR,LMTB34,BM&FBovespa,Industrials,Aerospace & Defense,2537.15,-1.61%,658.42B,50.00,22.06,61.34,46.99B,98.00,21.92,0.76,42.98,-,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy,-1.61,0.72,1.00,27.80,33.60,57.58,32.65,1.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2622.62,1899.09,-3.26,33.60,1.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.02,41.20,-19.66,-23.72,-9.26,1.00,54.91,52.23,3.90,44.52,-55.79
51,SAP SE BDR,SAPP34,BM&FBovespa,Information Technology,Software,590.55,0%,622.21B,0.00,38.74,33.86,29.28B,30.00,2.72,0.99,6.92,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,0.00,0.00,16.48,-24.23,-20.66,-,-21.56,1.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,805.15,411,-26.65,43.69,13.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.61,22.36,83.31,101.03,56.63,35.52,68.47,85.35,67.51,72.38,-12.57
52,Caterpillar Inc BDR,CATP34,BM&FBovespa,Industrials,Machinery,74.54,-0.67%,620.28B,399.00,16.82,2.25,55.44B,1.66K,13.85,1.12,1.51,-,Neutral,Strong Sell,Sell,Strong Buy,Strong Buy,-0.67,-3.35,1.83,6.06,6.37,117.06,5.66,2.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.29,53.12,-8.30,40.32,9.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.71,2.14,-4.04,-155.82,-1.71,-3.84,50.03,49.23,0.00,62.90,-72.07
53,Starbucks Corp BDR,SBUB34,BM&FBovespa,Consumer Discretionary,"Hotels, Restaurants & Leisure",531.4,-0.92%,608.64B,510.00,37.12,15.92,32.25B,470.00,2.85,0.86,7.43,-,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy,-0.92,-1.59,11.77,-16.62,-16.56,48.68,-17.66,1.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,657.56,342.07,-19.19,55.35,17.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.75,15.34,5.57,12.94,0.00,2.17,57.82,58.73,0.00,54.97,-33.18
54,Intel Corp BDR,ITLC34,BM&FBovespa,Information Technology,Semiconductors & Semiconductor Equipment,24.59,-1.4%,608.59B,26.41K,8.77,0.18,68.20B,19.54K,3.25,0.71,0.86,-,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-1.40,-4.73,3.28,-47.42,-46.49,-33.14,-48.77,3.48%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.7,21.54,-52.44,14.16,5.48%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.82,0.87,-1.66,-173.74,-0.93,-8.21,44.47,33.52,0.00,46.68,-96.73
55,American Express Co BDR,AXPB34,BM&FBovespa,Financial,Consumer Finance,80.57,-0.92%,603.20B,5.46K,14.54,1.24,36.88B,3.60K,9.96,1.14,0.73,-,Strong Sell,Strong Sell,Sell,Strong Buy,Neutral,-0.92,-1.50,7.14,-10.82,-13.79,64.47,-13.00,0.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.91,68.89,-22.46,16.95,5.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.37,2.45,-0.12,-80.19,0.00,-0.70,51.26,64.00,0.00,64.99,-52.45
56,Pinduoduo Inc BDR,P1DD34,BM&FBovespa,Consumer Discretionary,Internet & Direct Marketing Retail,44.34,-2.25%,564.82B,300.00,30.17,3.41,117.97B,7.55K,22.78,0.58,-,-,Neutral,Buy,Strong Buy,Strong Buy,Strong Buy,-2.25,3.16,43.63,34.28,25.64,-,24.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.9,12.39,-5.46,257.87,51.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.16,2.48,6.08,83.39,3.09,22.55,65.40,81.31,54.95,62.02,-21.77
57,ADP DRC,ADPR34,BM&FBovespa,Information Technology,IT Services,56.06,-1.3%,559.73B,2.10K,37.38,1.73,16.88B,563.00,7.26,0.83,0.73,-,Strong Sell,Strong Sell,Strong Buy,Sell,Strong Buy,-1.30,-2.04,7.46,-0.94,4.47,97.19,3.57,1.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.62,40.94,-4.37,36.93,8.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.65,1.29,5.39,72.54,2.18,5.77,61.73,81.95,60.23,63.01,-26.89
58,BlackRock DRC,BLAK34,BM&FBovespa,Financial,Capital Markets,56.13,-0.69%,554.43B,4.31K,19.56,1.42,18.64B,2.87K,36.74,1.31,1.06,-,Neutral,Strong Sell,Neutral,Strong Buy,Neutral,-0.69,-1.21,7.18,-25.46,-26.34,91.96,-27.13,1.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.34,40.91,-29.25,37.20,10.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.46,3.20,-1.84,-111.13,-0.87,-4.08,50.35,11.88,0.00,36.61,-92.47
59,Boeing Co BDR,BOEI34,BM&FBovespa,Industrials,Aerospace & Defense,922.14,-1.79%,548.62B,323.00,-10.35,40.17,31.23B,181.00,-14.24,1.45,-,-,Neutral,Strong Sell,Neutral,Strong Buy,Neutral,-1.79,0.93,5.64,-18.14,-20.07,-37.32,-22.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1263.79,566.5,-27.03,62.78,24.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.31,21.73,-7.15,-57.46,-7.37,-0.80,55.40,37.25,0.00,44.36,-87.14
60,Mondelez International Inc BDR,MDLZ34,BM&FBovespa,Consumer Staples,Food Products,176.77,0.01%,483.59B,4.71K,28.86,4.96,29.98B,261.00,2.27,0.67,2.75,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.01,2.58,8.88,-2.93,3.47,59.25,3.47,1.55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,135.3,-8.88,30.65,6.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.85,3.01,7.51,85.35,2.59,10.52,63.18,55.59,29.07,61.67,-22.69
61,General Electric Co BDR,GEOO34,BM&FBovespa,Industrials,Industrial Conglomerates,443.41,-0.51%,483.45B,721.00,-17.23,12.05,73.34B,233.00,-5.54,1.22,1.15,-,Strong Sell,Strong Sell,Neutral,Strong Buy,Neutral,-0.51,-0.26,2.83,-15.39,-18.71,864.98,-18.66,0.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,584.51,324,-24.14,36.85,6.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.79,12.62,-6.28,-90.15,-8.41,-4.17,52.70,28.96,15.73,37.03,-71.80
62,Citigroup Inc BDR,CTGP34,BM&FBovespa,Financial,Banks,38.7,-1.2%,450.53B,6.69K,6.62,-0.11,52.65B,2.47K,7.34,1.58,1.23,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-1.20,-6.27,-0.95,-28.64,-31.61,-22.83,-32.63,3.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.19,35.35,-36.75,9.48,5.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.56,1.22,-3.49,-169.53,-2.74,-10.50,35.98,25.25,0.00,28.32,-100.00
63,VALE ON,VALE3,BM&FBovespa,Materials,Metals & Mining,84.84,-3.56%,385.30B,45.44M,3.93,3.19,243.33B,38.22M,22.62,0.62,7.58,-,Buy,Sell,Strong Buy,Strong Buy,Strong Buy,-3.56,-1.55,15.98,18.87,23.26,126.66,21.41,8.94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.06,61.9,-13.48,37.06,27.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.75,2.61,2.86,44.18,0.11,2.09,61.38,73.61,8.93,48.71,-38.75
64,Target Corp BDR,TGTB34,BM&FBovespa,Consumer Discretionary,Multiline Retail,803.97,-2.6%,368.42B,425.00,22.21,-0.97,103.38B,717.00,7.40,1.02,14.79,-,Sell,Strong Sell,Strong Sell,Strong Sell,Sell,-2.60,-6.33,0.84,-37.63,-39.55,76.94,-41.86,1.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1341.14,706.7,-40.05,13.76,2.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.39,29.31,-89.25,-208.00,-44.55,-13.03,41.85,59.19,0.00,37.22,-90.44
65,3M Co BDR,MMMC34,BM&FBovespa,Industrials,Industrial Conglomerates,164.82,1.13%,364.41B,1.91K,10.94,1.30,26.26B,1.14K,11.50,0.99,5.22,-,Strong Buy,Strong Buy,Strong Sell,Sell,Sell,1.13,-3.05,2.35,-31.19,-31.32,-6.81,-31.93,3.16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251.02,139.9,-34.34,17.81,0.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.85,5.07,-6.39,-126.80,-0.73,-4.17,48.56,38.38,17.75,52.86,-66.40
66,PETROBRAS PN,PETR4,BM&FBovespa,Energy,"Oil, Gas & Consumable Fuels",25.35,-1.13%,355.90B,57.01M,1.90,-1.13,598.86B,99.17M,13.53,1.06,16.77,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Buy,-1.13,-0.94,-5.76,32.94,29.13,-14.93,28.82,66.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.39,18.55,-33.97,36.66,-10.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.01,1.31,0.12,30.41,0.00,-6.66,41.65,71.64,76.22,41.96,-42.45
67,PETROBRAS ON,PETR3,BM&FBovespa,Energy,"Oil, Gas & Consumable Fuels",28.74,-1.51%,355.90B,13.34M,1.90,-1.14,598.86B,24.03M,13.53,1.06,16.77,-,Strong Sell,Strong Sell,Strong Sell,Sell,Buy,-1.51,-1.74,-4.39,35.39,33.73,-9.94,33.26,58.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.08,20.36,-31.70,41.16,-8.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.48,1.44,-0.20,13.07,0.00,-7.17,41.05,69.00,70.66,38.52,-45.22
68,General Dynamics Corp BDR,GDBR34,BM&FBovespa,Industrials,Aerospace & Defense,1345.95,0%,351.18B,0.00,20.81,40.18,28.73B,151.00,12.12,0.85,17.73,-,Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.00,0.00,3.63,15.04,20.71,77.09,20.71,1.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1345.95,1043,0.00,29.05,8.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.89,26.31,164.19,132.20,91.94,8.21,69.94,81.35,100.00,76.19,0.00
69,U.S. Bancorp DRC,USBC34,BM&FBovespa,Financial,Banks,56.6,-2.65%,346.97B,2.60K,10.90,0.41,22.63B,104.00,4.20,0.98,2.40,-,Strong Sell,Strong Sell,Strong Sell,Sell,Sell,-2.65,-3.74,0.89,-28.02,-29.04,-2.88,-30.21,4.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88.09,51.3,-35.75,10.33,6.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.95,0.63,-2.36,-209.13,-1.58,-4.13,46.01,49.48,0.00,19.15,-100.00
70,Colgate Palmolive Co BDR,COLG34,BM&FBovespa,Consumer Staples,Household Products,57.51,-0.57%,337.48B,2.81K,32.80,0.61,13.27B,536.00,2.30,0.51,1.36,-,Strong Sell,Strong Sell,Neutral,Strong Buy,Neutral,-0.57,-0.26,6.26,-12.63,-6.07,46.97,-6.67,2.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.82,48.84,-17.63,17.75,3.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.04,0.89,-0.04,-75.95,-0.38,-1.19,52.40,29.88,13.98,39.74,-74.52
71,Metlife Inc BDR,METB34,BM&FBovespa,Financial,Insurance,396.95,0%,310.23B,0.00,28.50,17.98,70.49B,129.00,2.71,1.07,6.90,-,Buy,Buy,Strong Buy,Strong Buy,Strong Buy,0.00,-4.23,5.01,13.23,19.21,90.38,16.63,1.74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,414.5,302.11,-4.23,31.39,9.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.83,10.35,35.72,88.46,22.09,16.87,63.67,68.79,46.49,63.84,-24.91
72,Freeport Mcmoran Copper Gold Inc,FCXO34,BM&FBovespa,Materials,Metals & Mining,66.82,-0.98%,287.10B,4.35K,14.20,2.88,23.11B,8.67K,2.67,1.94,2.08,-,Strong Sell,Strong Sell,Buy,Strong Buy,Buy,-0.98,-2.58,14.07,-11.64,-5.14,328.61,-6.40,1.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,114,44.68,-41.39,49.55,25.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.25,5.67,0.95,-29.88,0.00,3.02,56.66,37.84,0.00,44.46,-93.31
73,Ford Motor Co BDR,FDMO34,BM&FBovespa,Consumer Discretionary,Automobiles,68.36,-1.75%,274.16B,54.00,5.96,0.47,151.74B,1.11K,2.25,1.41,2.11,-,Sell,Strong Sell,Strong Sell,Strong Sell,Sell,-1.75,-6.38,-1.26,-38.05,-36.00,80.37,-37.53,3.09%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139.74,56.31,-51.08,21.40,3.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.05,1.33,-5.50,-184.79,-4.18,-8.35,38.92,34.90,0.00,33.85,-100.00
74,ITAUUNIBANCO ON,ITUB3,BM&FBovespa,Financial,Banks,22.39,0.13%,273.06B,528.90K,8.75,-0.42,115.61B,835.22K,2.94,0.59,0.87,-,Strong Sell,Strong Sell,Sell,Sell,Buy,0.13,-0.44,-5.33,19.82,14.66,-24.20,11.04,3.87%,8.25,2.05,-6.21,1.83,1.44,1.66,32.89,-1.42,4.39,12.30,0.07,3.55,0.72,-,0.00,-,-,-,26.04,18.51,-14.02,20.96,-11.72%,-,-,38.52,24.06,34.07,24.06,24.91,20.66,0.29,-,127.63,485.27,6.85,-29.39,26.43,29.62,0.57,-0.33,-14.38,0.00,-1.06,40.52,54.38,94.83,54.86,-50.70
75,ITAUUNIBANCOPN EB N1,ITUB4,BM&FBovespa,Financial,Banks,25.96,-0.73%,273.06B,22.28M,8.75,-0.65,115.61B,45.41M,2.94,0.59,0.87,-,Strong Sell,Strong Sell,Strong Sell,Sell,Buy,-0.73,-0.08,-7.78,26.21,19.48,-9.17,15.16,3.33%,8.25,2.05,-6.21,1.83,1.44,1.68,32.89,-1.42,3.72,12.30,0.07,3.55,0.72,-,0.00,1.16,301.14,-,31.29,20.53,-17.03,26.45,-14.47%,-,0.00,38.52,34.12,34.07,27.85,24.91,25.51,0.29,-,160.94,485.27,6.20,-29.39,23.27,33.02,0.79,-0.45,-17.29,0.00,-1.78,41.34,50.03,87.80,56.33,-52.96
76,Banco Santander,BCSA34,BM&FBovespa,Financial,Banks,15.3,-0.65%,256.86B,2.26K,5.21,0.48,41.12B,8.32K,0.54,1.45,0.38,-,Buy,Strong Sell,Strong Buy,Strong Buy,Neutral,-0.65,-2.98,13.50,-16.35,-9.47,-6.08,-14.04,2.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.88,12.02,-26.72,27.29,13.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.99,0.70,0.35,20.85,0.00,7.75,57.56,50.00,0.00,41.80,-41.30
77,Hershey BDR,HSHY34,BM&FBovespa,Consumer Staples,Food Products,241,0%,252.91B,0.00,28.58,3.10,10.13B,22.00,7.70,0.36,2.82,-,Strong Sell,Sell,Neutral,Neutral,Strong Buy,0.00,0.00,1.02,11.89,16.76,89.32,16.76,1.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269.84,197.28,-10.69,22.16,-2.92%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.88,8.28,-3.95,-13.40,-0.05,1.43,50.95,44.01,32.64,41.60,-69.73
78,AMBEV S/A ON,ABEV3,BM&FBovespa,Consumer Staples,Beverages,16,-0.31%,251.87B,26.79M,19.91,0.12,75.51B,28.56M,0.83,0.80,0.13,-,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy,-0.31,-0.50,-2.91,3.76,5.15,-8.60,3.26,0.83%,19.29,3.20,12.47,19.21,2.80,7.18,-12.52,-17.39,0.15,11.33,13.87,9.82,13.19,0.57,3.63,1.37,247.60,16.02,16.88,12.81,-5.21,24.90,-0.5%,49.47,56.75,22.12,29.97,17.73,23.51,16.57,19.97,0.70,1.19,2.73,3.79,3.32,24.42,74.97,28.07,0.36,0.01,67.74,0.00,3.90,52.84,51.26,39.35,49.98,-48.67
79,Kimberly Clark Corp BDR,KMBB34,BM&FBovespa,Consumer Staples,Household Products,711,-1.74%,240.58B,1.00,23.20,17.15,15.13B,36.00,5.29,0.42,16.80,-,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy,-1.74,1.86,10.82,-9.73,-4.01,33.09,-4.01,2.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,827,567.2,-14.03,25.35,5.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.75,16.31,60.76,97.02,35.79,20.12,62.50,80.66,84.35,68.21,-9.57
80,FedEx Corp BDR,FDXB34,BM&FBovespa,Industrials,Air Freight & Logistics,905,-3.13%,233.41B,2.00,11.52,24.34,69.64B,91.00,13.71,1.32,16.29,-,Sell,Strong Sell,Sell,Strong Sell,Strong Sell,-3.13,-4.16,10.70,-36.81,-34.72,48.38,-35.66,1.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1514.1,765.75,-40.23,18.18,12.11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.74,19.12,-26.65,-32.95,-12.10,10.03,51.80,70.89,29.28,45.24,-33.53
81,Biogen DRC,BIIB34,BM&FBovespa,Healthcare,Biotechnology,254.57,0%,219.44B,0.00,14.34,11.90,5.29B,413.00,19.62,0.19,-,-,Sell,Sell,Neutral,Strong Buy,Strong Buy,0.00,-4.57,2.65,15.37,17.28,25.54,19.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,277,157.76,-8.10,61.37,6.81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.95,6.33,-11.08,-67.93,-9.79,8.61,54.09,43.54,0.00,40.85,-74.77
82,IQVIA Holdings BDR,I1QV34,BM&FBovespa,Healthcare,Life Sciences Tools & Services,275.24,0%,201.59B,0.00,34.12,5.09,14.31B,28.00,6.25,1.38,-,-,Sell,Strong Sell,Sell,Neutral,Neutral,0.00,-4.61,3.60,-30.55,-27.28,-,-27.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,398.95,230,-31.01,19.67,9.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.80,10.34,-10.01,-1.07,-2.37,15.52,49.36,83.17,22.54,57.30,-60.34
83,Block BDR,S2QU34,BM&FBovespa,Information Technology,IT Services,12.89,-3.37%,190.12B,346.00,-66.57,0.18,16.73B,5.47K,-0.93,2.37,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-3.37,-10.11,7.33,-65.41,-68.55,-,-70.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.83,10.7,-69.90,20.47,11.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.81,0.65,-1.63,-140.71,-0.65,-14.47,46.23,50.45,0.00,43.19,-86.67
84,Bank of New York Mellon Corp BDR,BONY34,BM&FBovespa,Financial,Capital Markets,232.07,2.96%,187.69B,117.00,13.59,2.74,16.52B,428.00,3.30,1.08,5.21,-,Strong Buy,Buy,Strong Sell,Buy,Neutral,2.96,-2.60,5.91,-26.67,-26.19,13.83,-25.21,2.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,355.16,194.4,-34.66,19.38,8.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.80,6.85,-12.43,-145.37,-3.04,-2.14,50.57,30.61,29.28,48.52,-72.78
